NAMESPACE            NAME                                                              READY   STATUS                   RESTARTS         AGE     IP              NODE   NOMINATED NODE   READINESS GATES
default              servermgmt-pwwsb                                                  1/1     Running                  126 (2d1h ago)   3d9h    10.254.84.31    cp0    <none>           <none>
default              sftp-d74vc                                                        1/1     Running                  377 (2d ago)     3d9h    10.254.84.65    cp0    <none>           <none>
default              snmp-w7s79                                                        1/1     Running                  126 (2d1h ago)   3d9h    10.254.84.45    cp0    <none>           <none>
default              snmpreceiver-csfmj                                                1/1     Running                  130 (2d1h ago)   3d9h    10.0.0.1        cp0    <none>           <none>
default              sso-c7c57c789-76vsq                                               1/1     Running                  122 (2d1h ago)   4d      10.254.83.224   cp0    <none>           <none>
default              sso-c7c57c789-c8kbz                                               0/1     ContainerStatusUnknown   1 (16d ago)      17d     10.254.84.5     cp0    <none>           <none>
default              statistic-d7ztm                                                   1/1     Running                  122 (2d1h ago)   3d9h    10.254.84.58    cp0    <none>           <none>
default              statsmgmtservice-8486b9585c-9vtzg                                 1/1     Running                  99 (2d ago)      4d      10.254.84.0     cp0    <none>           <none>
default              statsmgmtservice-8486b9585c-ns7rv                                 0/1     ContainerStatusUnknown   1 (16d ago)      17d     10.254.84.19    cp0    <none>           <none>
default              systemmgmtservice-7d59b78484-dsw6g                                0/1     ContainerStatusUnknown   1 (16d ago)      17d     10.254.83.205   cp0    <none>           <none>
default              systemmgmtservice-7d59b78484-l6vhh                                1/1     Running                  302 (2d ago)     4d      10.254.84.22    cp0    <none>           <none>
default              taskmgmt-gnp8r                                                    1/1     Running                  126 (2d1h ago)   3d9h    10.254.84.57    cp0    <none>           <none>
default              tftp-k9872                                                        1/1     Running                  0                3d9h    10.0.0.1        cp0    <none>           <none>
default              tsdb-0                                                            1/1     Running                  0                4d      10.254.84.2     cp0    <none>           <none>
default              webui-s6zqv                                                       1/1     Running                  122 (2d1h ago)   3d9h    10.254.84.43    cp0    <none>           <none>
etmem-system         etmem-agent-jswzf                                                 1/1     Running                  0                6m28s   10.0.0.1        cp0    <none>           <none>
etmem-system         etmem-operator-9fbb64c9c-mrmkd                                    0/1     Running                  0                2d2h    10.254.83.218   cp0    <none>           <none>
harbor               harbor-chartmuseum-6fbd8dfbd6-l5fhz                               0/1     ContainerStatusUnknown   1 (16d ago)      17d     10.254.83.232   cp0    <none>           <none>
harbor               harbor-chartmuseum-6fbd8dfbd6-msx2p                               1/1     Running                  0                4d      10.254.83.251   cp0    <none>           <none>
harbor               harbor-core-5c68c5b76f-fldfc                                      1/1     Running                  0                4d      10.254.83.199   cp0    <none>           <none>
harbor               harbor-core-5c68c5b76f-nlpnl                                      0/1     ContainerStatusUnknown   4 (4d ago)       17d     10.254.83.214   cp0    <none>           <none>
